strategy_id,signal_date,rebalance_date,execution_date,ticker,action,previous_weight,target_weight,delta_weight,simulated_execution_price,turnover_contribution,estimated_transaction_cost,execution_convention,run_id,record_status
FUNDAMENTAL_MOMENTUM,2019-03-14,2019-03-14,2019-03-14,AAPL,SELL,0.05,0.0,-0.05,45.97499847412109,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2019-03-14,2019-03-14,2019-03-14,ABBV,SELL,0.0,-0.05,-0.05,79.0,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2019-03-14,2019-03-14,2019-03-14,AXP,COVER,-0.05,0.0,0.05,112.38999938964844,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2019-03-14,2019-03-14,2019-03-14,BAC,SELL,0.0,-0.05,-0.05,29.309999465942383,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2019-03-14,2019-03-14,2019-03-14,BKNG,COVER,-0.05,0.0,0.05,70.7531967163086,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2019-03-14,2019-03-14,2019-03-14,CMCSA,SELL,0.05,0.0,-0.05,36.9915657043457,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2019-03-14,2019-03-14,2019-03-14,COP,BUY,0.0,0.05,0.05,67.27999877929688,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2019-03-14,2019-03-14,2019-03-14,LOW,SELL,0.0,-0.05,-0.05,100.9800033569336,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2019-03-14,2019-03-14,2019-03-14,MCD,COVER,-0.05,0.05,0.1,181.9900054931641,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2019-03-14,2019-03-14,2019-03-14,MCD,BUY,-0.05,0.05,0.1,181.9900054931641,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2019-03-14,2019-03-14,2019-03-14,MRK,COVER,-0.05,0.0,0.05,77.58587646484375,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2019-03-14,2019-03-14,2019-03-14,PEP,SELL,0.0,-0.05,-0.05,116.86000061035156,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2019-03-14,2019-03-14,2019-03-14,TGT,SELL,0.05,0.0,-0.05,76.66000366210938,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
